,DATE,LFWA64TTUSA647N
234,2019-07-01,206269916.666667
235,2019-08-01,206269916.666667
236,2019-09-01,206269916.666667
237,2019-10-01,206269916.666667
238,2019-11-01,206269916.666667
239,2019-12-01,206269916.666667
240,2020-01-01,205721083.333333
241,2020-02-01,205721083.333333
242,2020-03-01,205721083.333333
243,2020-04-01,205721083.333333
244,2020-05-01,205721083.333333
245,2020-06-01,205721083.333333
246,2020-07-01,205721083.333333
247,2020-08-01,205721083.333333
248,2020-09-01,205721083.333333
249,2020-10-01,205721083.333333
250,2020-11-01,205721083.333333
251,2020-12-01,205721083.333333
252,2021-01-01,205254833.333333
253,2021-02-01,205254833.333333
254,2021-03-01,205254833.333333
255,2021-04-01,205254833.333333
256,2021-05-01,205254833.333333
257,2021-06-01,205254833.333333
258,2021-07-01,205254833.333333
259,2021-08-01,205254833.333333
260,2021-09-01,205254833.333333
261,2021-10-01,205254833.333333
262,2021-11-01,205254833.333333
263,2021-12-01,205254833.333333
264,2022-01-01,207263666.666667
