,DATE,PCUATRNWRATRNWR
218,2020-03-01,135.8
219,2020-04-01,132.0
220,2020-05-01,132.9
221,2020-06-01,134.5
222,2020-07-01,133.6
223,2020-08-01,132.2
224,2020-09-01,132.8
225,2020-10-01,135.2
226,2020-11-01,134.6
227,2020-12-01,134.1
228,2021-01-01,135.0
229,2021-02-01,136.1
230,2021-03-01,138.5
231,2021-04-01,142.5
232,2021-05-01,142.8
233,2021-06-01,145.6
234,2021-07-01,147.625
235,2021-08-01,148.312
236,2021-09-01,147.851
237,2021-10-01,150.266
238,2021-11-01,153.389
239,2021-12-01,155.95
240,2022-01-01,157.367
241,2022-02-01,159.015
242,2022-03-01,165.723
243,2022-04-01,169.567
244,2022-05-01,171.296
245,2022-06-01,173.464
246,2022-07-01,173.307
247,2022-08-01,171.384
248,2022-09-01,169.615
249,2022-10-01,171.374
250,2022-11-01,169.792
251,2022-12-01,169.672
